-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1995 through 12/31/2025 in LST
Location: Latitude  12.9722   Longitude 77.5937 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 841.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1995,20.81,24.32,26.5,28.28,26.25,23.99,23.12,23.1,22.49,21.85,20.55,18.65,23.31
T2M,1996,20.51,23.28,26.88,27.02,28.32,23.84,22.89,22.31,22.15,21.45,20.17,18.68,23.12
T2M,1997,19.69,22.43,26.62,26.61,27.07,24.94,23.5,23.1,22.95,22.31,22.13,21.16,23.54
T2M,1998,21.31,24.1,28.29,29.59,27.76,24.75,23.13,22.7,22.33,21.71,20.62,18.57,23.73
T2M,1999,18.66,22.31,27.26,28.33,24.42,23.42,22.62,23.08,23.45,22.17,20.24,19.37,22.94
T2M,2000,21.38,24.44,25.75,28.36,26.25,23.4,23.4,22.35,22.89,21.59,20.2,18.62,23.21
T2M,2001,21.1,24.65,27.7,26.16,25.7,23.96,23.48,23.2,22.99,22.02,20.74,18.9,23.37
T2M,2002,21.09,22.48,27.06,29.67,27.11,23.82,23.91,23.61,24.48,22.91,21.47,20.21,23.99
T2M,2003,22.1,25.6,27.05,28.49,29.14,25.2,23.81,23.46,23.56,22.67,20.93,20.52,24.37
T2M,2004,22.04,23.73,27.24,28.48,24.46,23.58,22.46,22.59,22.3,22.04,20.11,19.02,23.16
T2M,2005,21.53,24.12,27.23,26.61,27.42,24.06,23.11,22.8,22.64,21.98,19.2,18.96,23.3
T2M,2006,18.63,20.1,24.87,28.26,26.38,23.84,23.48,23.63,23.78,23.7,22.13,20.17,23.26
T2M,2007,21.6,23.53,27.29,27.73,26.26,24.36,23.27,22.42,22.28,21.66,19.36,19.24,23.25
T2M,2008,19.71,22.93,23.89,26.75,27.19,23.96,23.19,22.55,22.21,21.96,20.03,18.72,22.75
T2M,2009,19.53,23.06,26.29,28.48,27.04,23.44,23.14,23.54,23.07,21.88,21.57,21.0,23.5
T2M,2010,21.68,24.68,27.78,28.16,26.86,24.23,22.91,23.09,22.63,22.45,21.3,19.52,23.76
T2M,2011,20.14,21.97,26.23,27.48,26.75,24.4,23.37,23.16,23.41,23.02,21.24,20.62,23.49
T2M,2012,21.64,24.18,27.47,28.48,26.94,25.56,24.51,23.73,23.66,22.87,21.82,21.61,24.37
T2M,2013,22.47,23.82,27.12,29.37,26.89,23.04,22.42,22.95,22.3,22.24,20.88,19.79,23.6
T2M,2014,21.23,23.92,26.12,29.56,27.4,25.5,23.84,23.33,23.35,22.39,20.87,21.25,24.06
T2M,2015,21.62,23.02,25.92,26.96,26.03,24.28,24.81,24.52,24.28,23.1,21.13,20.71,23.87
T2M,2016,20.77,24.45,27.38,30.95,27.47,23.76,23.47,23.74,23.57,23.9,23.43,21.07,24.49
T2M,2017,21.31,23.14,26.35,29.78,27.32,24.3,24.39,23.58,22.84,21.95,20.83,19.09,23.74
T2M,2018,19.8,21.77,25.98,28.81,26.44,23.93,23.86,23.72,24.33,23.41,22.88,22.68,23.97
T2M,2019,21.4,24.7,28.55,29.33,28.07,25.91,24.41,23.43,23.1,22.55,21.88,21.57,24.57
T2M,2020,22.6,24.5,27.46,27.95,28.43,24.56,22.97,23.14,22.29,22.06,21.08,19.75,23.9
T2M,2021,20.9,21.63,25.94,27.68,26.07,23.87,23.08,23.14,22.95,22.82,21.33,19.81,23.27
T2M,2022,20.86,22.57,26.38,27.99,25.69,23.72,23.01,22.84,22.47,21.88,20.31,20.02,23.14
T2M,2023,18.82,21.88,24.86,28.0,26.85,25.59,23.94,25.39,23.4,23.49,23.15,22.3,23.98
T2M,2024,23.0,25.38,27.99,30.31,27.71,24.09,23.7,23.9,23.92,23.2,21.88,21.58,24.71
T2M,2025,20.73,23.38,27.19,28.3,25.9,24.3,24.02,23.28,23.14,22.88,21.17,20.42,23.72
